,row,col,X,Y,Z
0,0,0,113.9,112.0,4.0
1,0,1,132.94,112.34,4.0
2,0,2,151.98,112.68,4.0
3,0,3,171.02,113.02,4.0
4,0,4,190.06,113.36,4.0
5,0,5,209.1,113.7,4.0
6,1,0,114.17,92.9,4.0
7,1,1,133.2,93.25,4.0
8,1,2,152.23,93.59,4.0
9,1,3,171.27,93.94,4.0
10,1,4,190.3,94.28,4.0
11,1,5,209.33,94.63,4.0
12,2,0,114.43,73.8,4.0
13,2,1,133.46,74.15,4.0
14,2,2,152.49,74.51,4.0
15,2,3,171.51,74.86,4.0
16,2,4,190.54,75.22,4.0
17,2,5,209.57,75.57,4.0
18,3,0,114.7,54.7,4.0
19,3,1,133.72,55.06,4.0
20,3,2,152.74,55.42,4.0
21,3,3,171.76,55.78,4.0
22,3,4,190.78,56.14,4.0
23,3,5,209.8,56.5,4.0
